Sl. No.,District
,
1,Palakkad
2,Palakkad
3,Palakkad
4,Palakkad
5,Palakkad
6,Palakkad
7,Palakkad
8,Palakkad
9,Palakkad
10,Palakkad
11,Palakkad
12,Palakkad
13,Palakkad
14,Palakkad
15,Palakkad
16,Palakkad
17,Palakkad
18,Palakkad
19,Palakkad
20,Palakkad
21,Palakkad
22,Palakkad
23,Palakkad
24,Palakkad
25,Palakkad
26,Palakkad
27,Palakkad
28,Palakkad
29,Palakkad
30,Palakkad
31,Palakkad
32,Palakkad
33,Palakkad
34,Palakkad
35,Palakkad
36,Palakkad
37,Palakkad
38,Palakkad
39,Palakkad
40,Palakkad
41,Palakkad
42,Palakkad
43,Palakkad
44,Palakkad
45,Palakkad
46,Palakkad
47,Palakkad
48,Palakkad
49,Kannur
50,Kannur
51,Kannur
52,Kannur
53,Kannur
54,Kannur
55,Kannur
56,Kannur
57,Kannur
58,Kannur
59,Kannur
60,Kannur
61,Kannur
62,Kannur
63,Kannur
64,Kannur
65,Kannur
66,Kannur
67,Kannur
68,Kannur
69,Kannur
70,Kannur
71,Kannur
72,Kannur
73,Kannur
74,Kannur
75,Kannur
76,Kannur
77,Kannur
78,Kannur
79,Kasargode
80,Kasargode
81,Kasargode
82,Kasargode
83,Kasargode
84,Kasargode
85,Kasargode
86,Kasargode
87,Kasargode
88,Kasargode
89,Kasargode
90,Kasargode
91,Kasargode
92,Kasargode
93,Kasargode
94,Kasargode
95,Kozhikode
96,Kozhikode
97,Kozhikode
98,Kozhikode
99,Kozhikode
100,Kozhikode
101,Kozhikode
102,Kozhikode
103,Kozhikode
104,Kozhikode
105,Kozhikode
106,Thiruvananthapuram
107,Thiruvananthapuram
108,Thiruvananthapuram
109,Thiruvananthapuram
110,Thiruvananthapuram
111,Thiruvananthapuram
112,Thiruvananthapuram
113,Thiruvananthapuram
114,Thiruvananthapuram
115,Kollam
116,Kollam
117,Kollam
118,Kollam
119,Kollam
120,Kollam
121,Kollam
122,Kollam
123,Kollam
124,Kollam
125,Kollam
126,Kollam
127,Kottayam
128,Kottayam
129,Kottayam
130,Kottayam
131,Kottayam
132,Kottayam
133,Wayanad
134,Wayanad
135,Wayanad
136,Wayanad
137,Wayanad
138,Malappuram
139,Malappuram
140,Malappuram
141,Alappuzha
142,Alappuzha
143,Ernakulam
144,Idukki
